回号,抽せん日,第1数字,第2数字,第3数字,第4数字,ストレート口数,ボックス口数,セット（ストレート）口数,セット（ボックス）口数,ストレート当選金額,ボックス当選金額,セット（ストレート）当選金額,セット（ボックス）当選金額
6673,2025-03-03,1,1,7,0,14,280,50.0,1138.0,942300,78500,510400.0,39200.0
6674,2025-03-04,6,3,1,8,32,394,75.0,1633.0,694700,28900,361800.0,14400.0
6675,2025-03-05,8,1,9,4,18,368,58.0,1590.0,917500,38200,477800.0,19100.0
6676,2025-03-06,1,7,8,1,19,184,80.0,751.0,818500,68200,443300.0,34100.0
6677,2025-03-07,0,9,4,8,32,384,60.0,1649.0,834200,34700,434400.0,17300.0
6678,2025-03-10,8,2,5,6,28,502,87.0,1646.0,863300,35900,449600.0,17900.0
6679,2025-03-11,8,2,6,1,21,329,42.0,1309.0,1030900,42900,536900.0,21400.0
6680,2025-03-12,9,2,0,0,15,138,49.0,706.0,1067700,88900,578300.0,44400.0
6681,2025-03-13,0,3,8,4,28,335,53.0,1356.0,891500,37100,464300.0,18500.0
6682,2025-03-14,2,8,5,3,38,425,72.0,1819.0,709600,29500,369500.0,14700.0
6683,2025-03-17,7,0,0,6,6,125,41.0,493.0,1657400,138100,897700.0,69000.0
6684,2025-03-18,9,8,4,3,54,514,63.0,1858.0,564200,23500,293800.0,11700.0
6685,2025-03-19,1,0,8,7,23,333,69.0,1465.0,838400,34900,436600.0,17400.0
6686,2025-03-20,8,5,5,5,27,51,68.0,150.0,829700,207400,518500.0,103700.0
6687,2025-03-21,1,4,3,1,13,165,47.0,667.0,1123900,93600,608700.0,46800.0
6688,2025-03-24,0,4,8,8,17,110,46.0,485.0,1386200,115500,750800.0,57700.0
6689,2025-03-25,2,1,9,1,131,235,55.0,1081.0,383200,31900,207500.0,15900.0
6690,2025-03-26,8,3,9,7,10,319,49.0,1511.0,1083500,45100,564300.0,22500.0
6691,2025-03-27,0,7,4,5,13,260,51.0,1189.0,1171200,48800,610000.0,24400.0
6692,2025-03-28,6,1,8,5,34,494,55.0,1679.0,770900,32100,401500.0,16000.0
6693,2025-03-31,8,2,2,1,32,220,55.0,782.0,879300,73200,476200.0,36600.0
6694,2025-04-01,3,6,7,1,16,320,41.0,1302.0,1071800,44600,558200.0,22300.0
6695,2025-04-02,1,6,9,5,9,321,48.0,1335.0,1162400,48400,605400.0,24200.0
6696,2025-04-03,7,8,9,2,9,259,40.0,1104.0,1370300,57000,713600.0,28500.0
6697,2025-04-04,9,7,2,1,12,377,42.0,1673.0,1099800,45800,572800.0,22900.0
6698,2025-04-07,2,0,7,8,25,439,70.0,1726.0,870700,36200,453400.0,18100.0
6699,2025-04-08,4,4,1,7,24,156,104.0,646.0,700900,58400,379600.0,29200.0
6700,2025-04-09,4,0,1,3,49,363,82.0,1630.0,610600,25400,318000.0,12700.0
6701,2025-04-10,7,8,5,6,12,356,61.0,1250.0,1007800,41900,524800.0,20900.0
6702,2025-04-11,7,0,1,1,55,222,83.0,1014.0,576300,48000,312100.0,24000.0
6703,2025-04-14,1,8,2,0,27,626,67.0,2437.0,697400,29000,363200.0,14500.0
